Generating descriptions for 22525 companies in 1127 batches...
  10/1127 batches done; 199 described so far
  20/1127 batches done; 399 described so far
  30/1127 batches done; 599 described so far
  40/1127 batches done; 799 described so far
  50/1127 batches done; 999 described so far
  60/1127 batches done; 1192 described so far
  70/1127 batches done; 1384 described so far
  80/1127 batches done; 1571 described so far
  90/1127 batches done; 1753 described so far
  100/1127 batches done; 1943 described so far
  110/1127 batches done; 2134 described so far
  120/1127 batches done; 2313 described so far
  130/1127 batches done; 2488 described so far
  140/1127 batches done; 2682 described so far
  150/1127 batches done; 2869 described so far
  160/1127 batches done; 3063 described so far
  170/1127 batches done; 3256 described so far
  180/1127 batches done; 3454 described so far
  190/1127 batches done; 3651 described so far
  200/1127 batches done; 3846 described so far
  210/1127 batches done; 4035 described so far
  220/1127 batches done; 4225 described so far
  230/1127 batches done; 4420 described so far
  240/1127 batches done; 4604 described so far
  250/1127 batches done; 4792 described so far
  260/1127 batches done; 4977 described so far
  270/1127 batches done; 5162 described so far
  280/1127 batches done; 5325 described so far
  290/1127 batches done; 5522 described so far
  300/1127 batches done; 5703 described so far
  310/1127 batches done; 5903 described so far
  320/1127 batches done; 6093 described so far
  330/1127 batches done; 6279 described so far
  340/1127 batches done; 6477 described so far
  350/1127 batches done; 6674 described so far
  360/1127 batches done; 6868 described so far
  370/1127 batches done; 7058 described so far
  380/1127 batches done; 7249 described so far
  390/1127 batches done; 7442 described so far
  400/1127 batches done; 7633 described so far
  410/1127 batches done; 7816 described so far
  420/1127 batches done; 8008 described so far
  430/1127 batches done; 8195 described so far
  440/1127 batches done; 8383 described so far
  450/1127 batches done; 8572 described so far
  460/1127 batches done; 8756 described so far
  470/1127 batches done; 8937 described so far
  480/1127 batches done; 9116 described so far
  490/1127 batches done; 9301 described so far
  500/1127 batches done; 9489 described so far
  510/1127 batches done; 9671 described so far
  520/1127 batches done; 9858 described so far
  530/1127 batches done; 10049 described so far
  540/1127 batches done; 10219 described so far
  550/1127 batches done; 10402 described so far
  560/1127 batches done; 10598 described so far
  570/1127 batches done; 10779 described so far
  580/1127 batches done; 10972 described so far
  590/1127 batches done; 11168 described so far
  600/1127 batches done; 11346 described so far
  610/1127 batches done; 11535 described so far
  620/1127 batches done; 11728 described so far
  630/1127 batches done; 11925 described so far
  640/1127 batches done; 12115 described so far
  650/1127 batches done; 12301 described so far
  660/1127 batches done; 12499 described so far
  670/1127 batches done; 12684 described so far
  680/1127 batches done; 12868 described so far
  690/1127 batches done; 13053 described so far
  700/1127 batches done; 13242 described so far
  710/1127 batches done; 13429 described so far
  720/1127 batches done; 13620 described so far
  730/1127 batches done; 13800 described so far
  740/1127 batches done; 13993 described so far
  750/1127 batches done; 14179 described so far
  760/1127 batches done; 14360 described so far
  770/1127 batches done; 14551 described so far
  780/1127 batches done; 14742 described so far
  790/1127 batches done; 14929 described so far
  800/1127 batches done; 15117 described so far
  810/1127 batches done; 15304 described so far
  820/1127 batches done; 15479 described so far
  830/1127 batches done; 15678 described so far
  840/1127 batches done; 15869 described so far
  850/1127 batches done; 16061 described so far
  860/1127 batches done; 16249 described so far
  870/1127 batches done; 16440 described so far
  880/1127 batches done; 16636 described so far
  890/1127 batches done; 16813 described so far
  900/1127 batches done; 17003 described so far
  910/1127 batches done; 17185 described so far
  920/1127 batches done; 17366 described so far
  930/1127 batches done; 17559 described so far
  940/1127 batches done; 17734 described so far
  950/1127 batches done; 17922 described so far
  960/1127 batches done; 18111 described so far
  970/1127 batches done; 18284 described so far
  980/1127 batches done; 18470 described so far
  990/1127 batches done; 18654 described so far
  1000/1127 batches done; 18840 described so far
  1010/1127 batches done; 19022 described so far
  1020/1127 batches done; 19201 described so far
  1030/1127 batches done; 19390 described so far
  1040/1127 batches done; 19575 described so far
  1050/1127 batches done; 19744 described so far
  1060/1127 batches done; 19927 described so far
  1070/1127 batches done; 20117 described so far
  1080/1127 batches done; 20309 described so far
  1090/1127 batches done; 20502 described so far
  1100/1127 batches done; 20691 described so far
  1110/1127 batches done; 20872 described so far
  1120/1127 batches done; 21057 described so far
  1127/1127 batches done; 21175 described so far
Done. 21175 new descriptions (21235 total non-UNKNOWN in cache).
